delta X,delta width (tvoidFree),delta volume (tvoidFree)
3.400000000000000e-01,1.561176647050759e-01,1.561176647050759e-01
3.500000000000000e-01,1.597695399028556e-01,1.597695399028556e-01
3.600000000000000e-01,1.634214151006348e-01,1.634214151006348e-01
3.700000000000000e-01,1.688992278973043e-01,1.688992278973043e-01
3.800000000000000e-01,1.725511030950839e-01,1.725511030950839e-01
3.900000000000000e-01,1.762029782928634e-01,1.762029782928634e-01
4.000000000000000e-01,1.816807910895326e-01,1.816807910895326e-01
4.100000000000000e-01,1.853326662873123e-01,1.853326662873123e-01
4.200000000000000e-01,1.889845414850919e-01,1.889845414850919e-01
4.300000000000000e-01,1.926364166828711e-01,1.926364166828711e-01
4.400000000000000e-01,1.981142294795406e-01,1.981142294795406e-01
4.500000000000000e-01,2.017661046773203e-01,2.017661046773203e-01
4.600000000000000e-01,2.054179798750997e-01,2.054179798750997e-01
4.700000000000000e-01,2.090698550728791e-01,2.090698550728791e-01
4.800000000000000e-01,2.145476678695486e-01,2.145476678695486e-01
4.900000000000000e-01,2.181995430673282e-01,2.181995430673282e-01
5.000000000000000e-01,2.218514182651079e-01,2.218514182651079e-01
