delta X,delta width (geo),delta volume (geo)
4.100000000000000e-01,-3.001394128216127e-01,-3.001394128216128e-01
4.200000000000000e-01,-3.052979280469545e-01,-3.052979280469545e-01
4.300000000000000e-01,-3.103844545454855e-01,-3.103844545454855e-01
4.400000000000000e-01,-3.154004924099492e-01,-3.154004924099491e-01
4.500000000000000e-01,-3.203475003523526e-01,-3.203475003523526e-01
4.600000000000000e-01,-3.252268971211189e-01,-3.252268971211189e-01
4.700000000000000e-01,-3.300400628603983e-01,-3.300400628603983e-01
4.800000000000000e-01,-3.347883404142734e-01,-3.347883404142734e-01
4.900000000000000e-01,-3.394730365784433e-01,-3.394730365784433e-01
5.000000000000000e-01,-3.440954233018424e-01,-3.440954233018424e-01
