delta X,delta width (tvoidFree),delta volume (tvoidFree)
3.500000000000000e-01,5.477812796671033e-03,3.166754706939225e-01
3.600000000000000e-01,4.564843997226120e-03,3.243632243280323e-01
3.700000000000000e-01,5.477812796671033e-03,3.344581940023366e-01
3.800000000000000e-01,5.477812796671033e-03,3.433495556565429e-01
3.900000000000000e-01,6.390781596115724e-03,3.534687452659018e-01
4.000000000000000e-01,6.390781596115724e-03,3.623681802317953e-01
4.100000000000000e-01,6.390781596115724e-03,3.712676151976868e-01
4.200000000000000e-01,5.477812796671033e-03,3.789150022733707e-01
4.300000000000000e-01,5.477812796671033e-03,3.878063639275779e-01
4.400000000000000e-01,6.390781596115724e-03,3.979659200953620e-01
4.500000000000000e-01,6.390781596115724e-03,4.068653550612544e-01
4.600000000000000e-01,6.390781596115724e-03,4.157515689262918e-01
4.700000000000000e-01,6.390781596115724e-03,4.246508406172169e-01
4.800000000000000e-01,6.390781596115724e-03,4.335501113061324e-01
4.900000000000000e-01,6.390781596115724e-03,4.424493809930372e-01
5.000000000000000e-01,6.390781596115724e-03,4.513486496779275e-01
