delta X,delta width (cla),delta volume (cla)
-2.000000000000000e-02,3.172271706541885e-04,-2.000000000000013e-02
-1.000000000000000e-02,1.586780507367713e-04,-1.000000000000001e-02
0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-02,-1.588072470340984e-04,9.999999999999787e-03
2.000000000000000e-02,-3.177439567328966e-04,2.000000000000002e-02
3.000000000000000e-02,-4.768103963553871e-04,3.000000000000003e-02
4.000000000000000e-02,-6.360068340574010e-04,3.999999999999981e-02
5.000000000000000e-02,-7.953335388963811e-04,5.000000000000004e-02
6.000000000000000e-02,-9.547907808343803e-04,5.999999999999983e-02
7.000000000000001e-02,-1.114378830742613e-03,6.999999999999984e-02
8.000000000000000e-02,-1.274097960405896e-03,7.999999999999985e-02
9.000000000000000e-02,-1.433948442527644e-03,8.999999999999986e-02
1.000000000000000e-01,-1.593930550732647e-03,9.999999999999987e-02
1.100000000000000e-01,-1.754044559573287e-03,1.100000000000001e-01
1.200000000000000e-01,-1.914290744531644e-03,1.200000000000001e-01
1.300000000000000e-01,-2.074669382025496e-03,1.299999999999999e-01
1.400000000000000e-01,-2.235180749413312e-03,1.400000000000001e-01
1.500000000000000e-01,-2.395825124995810e-03,1.499999999999997e-01
1.600000000000000e-01,-2.556602788023943e-03,1.599999999999997e-01
1.700000000000000e-01,-2.717514018701017e-03,1.699999999999997e-01
1.800000000000000e-01,-2.878559098187905e-03,1.799999999999997e-01
1.900000000000000e-01,-3.039738308608375e-03,1.899999999999999e-01
2.000000000000000e-01,-3.201051933051868e-03,2.000000000000000e-01
2.100000000000000e-01,-3.362500255579715e-03,2.100000000000000e-01
2.200000000000000e-01,-3.524083561229463e-03,2.200000000000000e-01
2.300000000000000e-01,-3.685802136019545e-03,2.299999999999998e-01
2.400000000000000e-01,-3.847656266952160e-03,2.399999999999998e-01
2.500000000000000e-01,-4.009646242021159e-03,2.500000000000000e-01
2.600000000000000e-01,-4.171772350214709e-03,2.600000000000000e-01
2.700000000000000e-01,-4.334034881520066e-03,2.699999999999998e-01
2.800000000000000e-01,-4.496434126930016e-03,2.799999999999998e-01
2.900000000000000e-01,-4.658970378444982e-03,2.899999999999998e-01
3.000000000000000e-01,-4.821643929080688e-03,3.000000000000000e-01
3.100000000000000e-01,-4.984455072871263e-03,3.100000000000001e-01
3.200000000000000e-01,-5.147404104875242e-03,3.200000000000001e-01
3.300000000000000e-01,-5.310491321179112e-03,3.300000000000001e-01
3.400000000000000e-01,-5.473717018903757e-03,3.399999999999999e-01
3.500000000000000e-01,-5.637081496209007e-03,3.500000000000001e-01
3.600000000000000e-01,-5.800585052298191e-03,3.599999999999999e-01
3.700000000000000e-01,-5.964227987424131e-03,3.700000000000001e-01
3.800000000000000e-01,-6.128010602893252e-03,3.799999999999997e-01
3.900000000000000e-01,-6.291933201072020e-03,3.899999999999999e-01
4.000000000000000e-01,-6.455996085389382e-03,3.999999999999997e-01
4.100000000000000e-01,-6.620199560346429e-03,4.099999999999999e-01
4.200000000000000e-01,-6.784543931516951e-03,4.199999999999999e-01
4.300000000000000e-01,-6.949029505556537e-03,4.299999999999999e-01
4.400000000000000e-01,-7.113656590204909e-03,4.399999999999997e-01
4.500000000000000e-01,-7.278425494293583e-03,4.499999999999997e-01
4.600000000000000e-01,-7.443336527749422e-03,4.599999999999997e-01
4.700000000000000e-01,-7.608390001600962e-03,4.699999999999998e-01
4.800000000000000e-01,-7.773586227984186e-03,4.799999999999998e-01
4.900000000000000e-01,-7.938925520147411e-03,4.900000000000000e-01
5.000000000000000e-01,-8.104408192456503e-03,5.000000000000000e-01
