delta X,delta width (geo),delta volume (appGeo)
3.100000000000000e-01,-7.053745355701546e-02,1.317098190647632e-01
3.200000000000000e-01,-7.237380684207539e-02,1.358472675871152e-01
3.300000000000000e-01,-7.418866307960148e-02,1.399784199885459e-01
3.400000000000000e-01,-7.598243837071683e-02,1.441033286270965e-01
3.500000000000000e-01,-7.775553770548382e-02,1.482220451144161e-01
3.600000000000000e-01,-7.950835533925638e-02,1.523346203307270e-01
3.700000000000000e-01,-8.124127515363588e-02,1.564411044394038e-01
3.800000000000000e-01,-8.295467100277110e-02,1.605415469011771e-01
3.900000000000000e-01,-8.464890704569217e-02,1.646359964879780e-01
4.000000000000000e-01,-8.632433806534168e-02,1.687245012964302e-01
4.100000000000000e-01,-8.798130977492413e-02,1.728071087610066e-01
4.200000000000000e-01,-8.962015911216203e-02,1.768838656668503e-01
4.300000000000000e-01,-9.124121452201872e-02,1.809548181622840e-01
4.400000000000000e-01,-9.284479622841579e-02,1.850200117710046e-01
4.500000000000000e-01,-9.443121649544639e-02,1.890794914039795e-01
4.600000000000000e-01,-9.600077987855893e-02,1.931333013710532e-01
4.700000000000000e-01,-9.755378346616250e-02,1.971814853922693e-01
4.800000000000000e-01,-9.909051711208072e-02,2.012240866089192e-01
4.900000000000000e-01,-1.006112636592588e-01,2.052611475943269e-01
5.000000000000000e-01,-1.021162991551106e-01,2.092927103643720e-01
