delta X,delta width (tvoidFree),delta volume (tvoidFree)
2.000000000000000e-01,5.751703436502797e-02,5.751703436502797e-02
2.100000000000000e-01,5.934297196391758e-02,5.934297196391758e-02
2.200000000000000e-01,6.299484716169701e-02,6.299484716169701e-02
2.300000000000000e-01,6.482078476058684e-02,6.482078476058684e-02
2.400000000000000e-01,6.847265995836649e-02,6.847265995836649e-02
2.500000000000000e-01,7.029859755725631e-02,7.029859755725631e-02
2.600000000000000e-01,7.395047275503575e-02,7.395047275503575e-02
2.700000000000000e-01,7.577641035392535e-02,7.577641035392535e-02
2.800000000000000e-01,7.942828555170500e-02,7.942828555170500e-02
2.900000000000000e-01,8.125422315059483e-02,8.125422315059483e-02
3.000000000000000e-01,8.490609834837448e-02,8.490609834837448e-02
3.100000000000000e-01,8.673203594726431e-02,8.673203594726431e-02
3.200000000000000e-01,8.855797354615391e-02,8.855797354615391e-02
3.300000000000000e-01,9.220984874393334e-02,9.220984874393356e-02
3.400000000000000e-01,9.403578634282317e-02,9.403578634282317e-02
3.500000000000000e-01,9.768766154060282e-02,9.768766154060282e-02
3.600000000000000e-01,9.951359913949265e-02,9.951359913949265e-02
3.700000000000000e-01,1.031654743372723e-01,1.031654743372723e-01
3.800000000000000e-01,1.049914119361621e-01,1.049914119361621e-01
3.900000000000000e-01,1.068173495350520e-01,1.068173495350520e-01
4.000000000000000e-01,1.104692247328314e-01,1.104692247328314e-01
4.100000000000000e-01,1.122951623317210e-01,1.122951623317210e-01
4.200000000000000e-01,1.159470375295006e-01,1.159470375295006e-01
4.300000000000000e-01,1.177729751283905e-01,1.177729751283905e-01
4.400000000000000e-01,1.214248503261701e-01,1.214248503261701e-01
4.500000000000000e-01,1.232507879250599e-01,1.232507879250599e-01
4.600000000000000e-01,1.250767255239498e-01,1.250767255239498e-01
4.700000000000000e-01,1.287286007217294e-01,1.287286007217294e-01
4.800000000000000e-01,1.305545383206193e-01,1.305545383206193e-01
4.900000000000000e-01,1.323804759195089e-01,1.323804759195089e-01
5.000000000000000e-01,1.360323511172883e-01,1.360323511172883e-01
